"week","total_chat","total_adjusted_tickets","retailer_count"
"2014-08-04",7,75,746
"2014-08-11",8,76,757
"2014-08-18",8,77,769
"2014-08-25",8,78,780
"2014-09-01",8,79,792
"2014-09-08",8,80,804
"2014-09-15",8,82,816
"2014-09-22",8,83,828
"2014-09-29",8,84,841
"2014-10-06",9,85,853
"2014-10-13",9,87,866
"2014-10-20",9,88,879
"2014-10-27",9,89,892
"2014-11-03",9,91,906
"2014-11-10",9,92,919
"2014-11-17",9,93,933
"2014-11-24",9,95,947
"2014-12-01",10,96,961
"2014-12-08",10,98,976
"2014-12-15",10,99,990
"2014-12-22",10,101,1005
"2014-12-29",10,102,1020
"2015-01-05",10,104,1036
"2015-01-12",11,105,1051
"2015-01-19",11,107,1067
"2015-01-26",11,108,1083
"2015-02-02",11,110,1099
"2015-02-09",11,112,1116
"2015-02-16",11,113,1132
"2015-02-23",11,115,1149
"2015-03-02",12,117,1167
"2015-03-09",12,118,1184
"2015-03-16",12,120,1202
"2015-03-23",12,122,1220
"2015-03-30",12,124,1238
"2015-04-06",13,126,1257
"2015-04-13",13,128,1276
"2015-04-20",13,129,1295
"2015-04-27",13,131,1314
"2015-05-04",13,133,1334
"2015-05-11",14,135,1354
"2015-05-18",14,137,1374
"2015-05-25",14,139,1395
"2015-06-01",14,142,1416
"2015-06-08",14,144,1437
"2015-06-15",15,146,1458
"2015-06-22",15,148,1480
"2015-06-29",15,150,1503
"2015-07-06",15,153,1525
"2015-07-13",15,155,1548
"2015-07-20",16,157,1571
"2015-07-27",16,159,1595
"2015-08-03",16,162,1619
"2015-08-10",16,164,1643
"2015-08-17",17,167,1668
"2015-08-24",17,169,1693
"2015-08-31",17,172,1718
"2015-09-07",17,174,1744
"2015-09-14",18,177,1770
"2015-09-21",18,180,1796
"2015-09-28",18,182,1823
"2015-10-05",19,185,1851
"2015-10-12",19,188,1878
"2015-10-19",19,191,1907
"2015-10-26",19,194,1935
"2015-11-02",20,196,1964
"2015-11-09",20,199,1994
"2015-11-16",20,202,2024
"2015-11-23",21,205,2054
"2015-11-30",21,208,2085
"2015-12-07",21,212,2116
"2015-12-14",21,215,2148
"2015-12-21",22,218,2180
"2015-12-28",22,221,2213
"2016-01-04",22,225,2246
"2016-01-11",23,228,2280
"2016-01-18",23,231,2314
"2016-01-25",23,235,2349
"2016-02-01",24,238,2384
"2016-02-08",24,242,2420
"2016-02-15",25,246,2456
"2016-02-22",25,249,2493
"2016-02-29",25,253,2530
"2016-03-07",26,257,2568
"2016-03-14",26,261,2607
"2016-03-21",26,265,2646
"2016-03-28",27,269,2685
"2016-04-04",27,273,2726
"2016-04-11",28,277,2766
"2016-04-18",28,281,2808
"2016-04-25",29,285,2850
"2016-05-02",29,289,2893
"2016-05-09",29,294,2936
"2016-05-16",30,298,2980
"2016-05-23",30,302,3025
"2016-05-30",31,307,3070
"2016-06-06",31,312,3116
"2016-06-13",32,316,3163
"2016-06-20",32,321,3211
"2016-06-27",33,326,3259
"2016-07-04",33,331,3308
"2016-07-11",34,336,3357
"2016-07-18",34,341,3408
"2016-07-25",35,346,3459
"2016-08-01",35,351,3511
"2016-08-08",36,356,3563
"2016-08-15",36,362,3617
"2016-08-22",37,367,3671
"2016-08-29",37,373,3726
"2016-09-05",38,378,3782
"2016-09-12",38,384,3839
"2016-09-19",39,390,3896
"2016-09-26",40,395,3955
"2016-10-03",40,401,4014
"2016-10-10",41,407,4074
"2016-10-17",41,414,4135
"2016-10-24",42,420,4197
"2016-10-31",43,426,4260
"2016-11-07",43,432,4324
"2016-11-14",44,439,4389
"2016-11-21",45,445,4455
"2016-11-28",45,452,4522
"2016-12-05",46,459,4590
"2016-12-12",47,466,4658
"2016-12-19",47,473,4728
"2016-12-26",48,480,4799
"2017-01-02",49,487,4871
"2017-01-09",49,494,4944
"2017-01-16",50,502,5018
"2017-01-23",51,509,5094
"2017-01-30",52,517,5170
"2017-02-06",52,525,5248
"2017-02-13",53,533,5326
"2017-02-20",54,541,5406
"2017-02-27",55,549,5487
"2017-03-06",56,557,5570
"2017-03-13",57,565,5653
"2017-03-20",57,574,5738
"2017-03-27",58,582,5824
"2017-04-03",59,591,5911
"2017-04-10",60,600,6000
"2017-04-17",61,609,6090
"2017-04-24",62,618,6181
"2017-05-01",63,627,6274
"2017-05-08",64,637,6368
"2017-05-15",65,646,6464
"2017-05-22",66,656,6561
"2017-05-29",67,666,6659
"2017-06-05",68,676,6759
"2017-06-12",69,686,6861
"2017-06-19",70,696,6963
"2017-06-26",71,707,7068
"2017-07-03",72,717,7174
"2017-07-10",73,728,7281
"2017-07-17",74,739,7391
"2017-07-24",75,750,7502
"2017-07-31",76,761,7614
"2017-08-07",0,773,7728
"2017-08-14",0,784,7844
"2017-08-21",0,796,7962
"2017-08-28",0,808,8081
"2017-09-04",0,820,8203
"2017-09-11",0,833,8326
"2017-09-18",0,845,8450
"2017-09-25",0,858,8577
"2017-10-02",0,871,8706
"2017-10-09",0,884,8836
"2017-10-16",0,897,8969
"2017-10-23",0,910,9104
"2017-10-30",0,924,9240
"2017-11-06",0,938,9379
"2017-11-13",0,952,9519
"2017-11-20",0,966,9662
"2017-11-27",0,981,9807
"2017-12-04",0,995,9954
"2017-12-11",0,1010,10104
"2017-12-18",0,1026,10255
"2017-12-25",0,1041,10409
"2018-01-01",0,1057,10565
"2018-01-08",0,1072,10724
"2018-01-15",0,1088,10884
"2018-01-22",0,1105,11048
"2018-01-29",0,1121,11213
"2018-02-05",0,1138,11382
"2018-02-12",0,1155,11552
"2018-02-19",0,1173,11726
"2018-02-26",0,1190,11901
"2018-03-05",0,1208,12080
"2018-03-12",0,1226,12261
"2018-03-19",0,1245,12445
"2018-03-26",0,1263,12632
"2018-04-02",0,1282,12821
"2018-04-09",0,1301,13014
"2018-04-16",0,1321,13209
"2018-04-23",0,1341,13407
"2018-04-30",0,1361,13608
"2018-05-07",0,1381,13812
